Wow!	Carai!
Wait.	Espera't.
I left.	M'en vaig anar.
Really?	De veritat?
Thanks!	Gràcies!
Thanks.	Gràcies!
Get out!	Fora!
Goodbye!	Adéu!
I agree.	Hi estic d'acord.
Hurry up.	Afanya't.
Too late.	Massa tard.
Thank you.	Gràcies!
Can I help?	Puc ajudar?
I envy him.	L'envejo.
I love you.	T'estimo.
That's Tom.	Així és en Tom.
Time flies.	El temps vola.
We saw you.	Vos vam vore.
I like both.	M'agraden ambdós.
I like cats.	M'agraden els gats
I'll try it.	La provaré.
I'm 17, too.	Jo també tinc 17 anys.
I'm a vegan.	Jo sóc vegà
I'm at home.	Estic a casa.
I'm stuffed.	Estic molt tip.
Make a wish.	Demana un desig
Money talks.	Qui paga, mana.
We love you.	T'estimem.
We love you.	Us estimem.
Where is he?	On és?
Who are you?	Qui ets tu?
Who are you?	Qui és vostè?
Who are you?	Qui ets?
Who are you?	Qui sou?
Come with us.	Vine amb nosaltres.
He has a dog.	Ell té un gos.
She stood up.	Ella es va aixecar.
Tom is vegan.	El Tom és vegà
We know that.	Ho sabem.
We're vegans.	Nosaltres som vegans
Are you happy?	Ets feliç?
Bats scare me.	Em fan por els ratpenats.
Hi, everybody.	Hola a tots.
I hate coffee.	Detesto el cafè.
I'm desperate.	Estic desesperat.
I'm very full.	Estic molt tip.
Let me try it.	Deixa'm intentar-ho.
She hated him.	Ella l'odiava.
Use your fist.	Fes servir el teu puny.
You look good.	Tens bona cara.
You look good.	Fas bona cara.
You look good.	Fas bon aspecte.
Are you asleep?	dorms?
Are you asleep?	t'has adormit?
Are you asleep?	dormiu?
Are you asleep?	us heu adormit?
Are you crying?	Estàs plorant?
Are you crying?	Que plores?
Are you insane?	Estàs boig?
Can I help you?	Puc ajudar?
Don't cry, Tom.	No ploris, Tom.
Happy New Year!	Bon any nou!
I hate karaoke.	Detesto el karaoke.
I need a stamp.	Necessito un segell.
I saw him jump.	El vaig veure saltar.
Is that a bear?	És aquest un os?
Leave me alone!	Deixa'm en pau!
She's pregnant.	Ella està embarassada.
She's pregnant.	Està embarassada.
She's pregnant.	Ella està prenyada.
She's pregnant.	Està prenyada.
They hated Tom.	Odiaven en Tom.
This is a fish.	Això és un peix.
This is a fish.	Açò és un peix.
Tom can't swim.	En Tom no sap nedar.
We're all safe.	Estem tots bé.
Who painted it?	Qui ho ha pintat?
Whose are they?	De qui són?
Congratulations!	L'enhorabona!
Didn't you know?	No ho sabies?
Her book is red.	El seu llibre és roig.
I didn't say it.	No ho he dit pas.
I felt the same.	Em sentia igual.
I have two cats.	Tinc dos gats.
I made Tom wait.	He fet esperar en Tom
It's your fault.	És culpa teva.
She admired him.	Ella l'admirava.
Tom turned blue.	El Tom va posar-se blau.
We're not tired.	No ens hem cansat.
What great news!	Quina bona nova!
Who are you all?	Qui sou tots vosaltres?
Who are you all?	Qui sou totes vosaltres?
5 is less than 8.	5 són menys que 8.
Are you an idiot?	Ets idiota?
Are you blushing?	Que t'enrojoles?
Are you finished?	Has acabat?
Do you wanna bet?	Apostes?
Go to sleep, Tom.	Ves a dormir, Tom
Go to sleep, Tom.	A dormir, Tom.
Go to sleep, Tom.	Ves al llit, Tom.
Go to sleep, Tom.	Cap al llit, Tom.
He hates spiders.	Ell avorreix les aranyes.
Here is your bag.	Aquí és la teva bossa.
Here is your bag.	Ací està la teua bossa.
Here is your bag.	Ací tens la teua bossa.
Hope hasn't died.	Espero que no hagi mort.
I am now on duty.	Ara estic de servei.
I ate the cheese.	Em vaig menjar el formatge.
I hate chemistry.	Odio la química.
I have a problem.	Tinc un problema.
I have a problem.	Tinc un maldecap.
I have no family.	No tinc família.
I work in a bank.	Jo treballo a un banc.
I wrote a letter.	Vaig escriure una carta.
I'm already late.	Ja faig tard.
I'm not a doctor.	Jo no sóc metge.
Is he still here?	Ell encara es aquí?
It's not so easy.	No és tan fàcil.
Let go of my arm.	Deixa'm anar el braç.
She lives nearby.	Viu aquí prop.
They're my books.	Són els meus llibres.
This is your dog.	Aquest és el teu gos.
Tom isn't hungry.	Tom no té fam.
Tom walked alone.	En Tom caminava sol.
Tom writes books.	En Tom escriu llibres.
We want a lawyer.	Volem un advocat.
What is going on?	Què hi ha?
What is going on?	Què passa?
Who are you with?	Amb qui estàs?
Who are you with?	Amb qui esteu?
Are you going out?	Sortireu?
Don't be like Tom.	No siguis com en Tom.
Everybody laughed.	Tothom rigué.
Have you seen her?	L'has vista?
He went back home.	Ell va tornar a casa.
I also kissed Tom.	Jo també vaig petonejar en Tom.
I have an earache.	Tinc otitis.
I have black eyes.	Tinc els ulls negres.
I know those bars.	Jo conec aqueixos bars.
I think he did it.	Crec que ho va fer ell.
I want to see you.	Vull veure't.
I'm a bit nervous.	Estic un poc nerviós.
I'm a salesperson.	Sóc venedor.
I'm always hungry.	Sempre tinc fam.
I'm always hungry.	Sempre tinc gana.
Let me have a try.	Deixa'm intentar-ho.
Nobody is perfect.	Ningú és perfecte.
She has long hair.	Ella té el cabell llarg.
She hates carrots.	Ella odia les carrotes.
She hates carrots.	Ella odia les pastanagues.
She hates carrots.	Ella odia les safanòries.
She hates running.	Ella odia córrer.
Silence is golden.	Callar val tant com l'or.
That book is mine.	Aquell llibre és meu.
That's ridiculous!	Allò és ridícul!
That's ridiculous.	Allò és ridícul.
Tom chickened out.	En Tom es va acollonir.
Tom chickened out.	En Tom es va cagar.
