Thanks!	Grazas.
It rained.	Choveu.
Turn left.	Vira á esquerda.
I'm a hero.	Son un heroe.
Don't worry.	Non vos preocupedes.
I like cats.	Gústanme os gatos.
I'm thirsty.	Teño sede.
Surprise me.	Sorpréndeme.
He has a dog.	El ten un can.
I called him.	Chameino a el.
I'm divorced.	Estou divorciada.
I am all ears.	Son todo ouvidos.
We're enemies.	Somos inimigos.
Good afternoon.	Boas tardes.
It is Saturday.	É sábado.
It's very cold.	Fai moito frío.
Open your eyes.	Abre os ollos.
Open your eyes.	Abride os ollos.
The tea is hot.	O té está quente.
Drive carefully.	Conduce con xeito.
His name is Tom.	El chámase Tom.
How old are you?	Cantos anos tes?
I can't hear it.	Non podo o ouvir.
I have brothers.	Teño irmáns.
I have two cats.	Teño dous gatos.
I'll buy a Ford.	Hei mercar un Ford.
I agree with you.	Estou de acordo contigo.
It's really cold.	Fai moito frío.
No one likes war.	A ninguén lle gusta a guerra.
She worships him.	Ela adórao.
Tom was our hero.	Tom era o noso heroe.
We're in a hurry.	Temos présa.
We're in a hurry.	Temos apuro.
What's your name?	Como te chamas?
Christmas is near.	O Nadal está cerca.
Keep away from me.	Arrédate de min.
Tom is a good boy.	Tom éche un bo rapaz.
What is your name?	Como te chamas?
Where do you live?	Onde vives?
You have no heart.	Non tes corazón.
He wants a new car.	El quere un coche novo.
I sleep in my room.	Eu durmo na miña habitación.
I want to be happy.	Quero ser feliz.
I watch television.	Vexo a televisión.
It wasn't my fault.	Non foi miña culpa.
Just water, please.	Só auga, por favor.
That house is mine.	Aquela casa é miña.
The signal was red.	O semáforo estaba en vermello.
What are you doing?	Que fas?
Why are you crying?	Por que estás a chorar?
Do you drink coffee?	Bebedes café?
Have a nice weekend.	Ten unha boa fin de semana.
I can't find my key.	Non dou topado a miña chave.
I told you to leave.	Díxenche que marcharas.
I'll make you happy.	Fareite feliz.
May I ask your name?	Podo preguntarlle o seu nome?
More coffee, please.	Máis café, por favor.
She is on death row.	Ela está no corredor da morte.
Take it or leave it.	Colles ou largas.
That's not possible.	Iso non é posíbel!
Those are our books.	Aqueles son os nosos libros.
Tom put on his robe.	Tom puxo a súa sotana.
Tom was very scared.	Tom estaba moi asustado.
We had an oral exam.	Tivemos un exame oral.
Welcome to our home.	Benvido ao noso lar.
Welcome to our home.	Benvido ao noso fogar.
Will you forgive me?	Perdóasme?
He has two daughters.	El ten dúas fillas.
He was badly wounded.	Foi gravemente ferido.
How many do you need?	Cantos precisas?
How much is this tie?	Canto custa esta gravata?
I've got a good idea.	Teño unha boa idea.
They're already here.	Eles xa están aquí.
Turtles are reptiles.	As tartarugas son réptiles.
A week has seven days.	Unha semana ten sete días.
Are you talking to me?	Falas comigo?
Do you have some milk?	Ten vostede algo de leite?.
He started a new life.	El comezou unha nova vida.
He talked about music.	El falou de música.
I don't have any pens.	Non teño ningún bolígrafo.
I don't need anything.	Non preciso nada.
I need it by tomorrow.	Necesítoo para mañá.
It's not worth trying.	Non paga a pena intentalo.
She always works hard.	Ela sempre traballa moito.
She is afraid of dogs.	Ela tenlle medo aos cans.
Tom got off the plane.	Tom baixou do avión.
We have two daughters.	Temos dúas fillas.
Where are your things?	Onde están as túas cousas?
Are you speaking to me?	Falas comigo?
I knew he would accept.	Sabía que el aceptaría.
This is not a sentence.	Isto non é unha frase.
Are you drinking coffee?	Bebedes café?
Are you working tonight?	Traballas esta noite?
I hardly have any money.	Apenas teño cartos.
I'll be back in an hour.	Volvo nunha hora.
You can swim, can't you?	Sabes nadar, non si?
A year has twelve months.	Un ano ten doce meses.
He dressed up as a woman.	Vestiuse coma unha muller.
I can't accept this gift.	Non podo aceptar este agasallo.
I eat eggs every morning.	Como ovos tódalas mañás.
I won't go till tomorrow.	Non irei ata mañá.
I'm too busy to help him.	Estou moi ocupado como para axudalo.
The snow has disappeared.	A neve desapareceu.
The snow started to melt.	A neve empezou a derreterse.
These books are very old.	Estes libros son moi vellos.
He always tells the truth.	El sempre di a verdade.
