I'm stuck.	Ez hilawîstî me.
Let me go.	Bihêle ez heřim.
Stay home.	Li malê bimîne.
I want you.	Ez, te dixwazim.
I'm a hero.	Ez leheng im.
Is Tom out?	Tom derketî ye?
Taste this.	Viya tahm bike.
How are you?	Çawa yî?
I confessed.	Min aşart.
I'll attend.	Ez ê lê beşdar bibim.
Tom is poor.	Tom belengaz e.
Tom told me.	Tom bi min ra got.
May I attend?	Dibe ez beşdar bim.
My eyes hurt.	Çavên min diêşin.
My eyes itch.	Çavên min dixurin.
You're wrong.	Tu şaş ê/î.
He is out now.	Ew naka li derva ye.
I was running.	Ez dibezîm.
I've got eyes.	Çavên min hene.
What can I do?	Ez çi kanim bikim?
Comb your hair.	porê xwe şe bike.
Comb your hair.	Porê min şe bike
He became rich.	Ew zengîn bû.
My heart hurts.	Dilê min diêşe.
My tooth hurts.	Diranê min diêşe
Tom hated Mary.	Dilê Tom ji Marî řeş bû.
We're a couple.	Em jinûmêrê hev in.
Bees make honey.	Mêşhinguva hinguva çê dikin.
Bees make honey.	Mêşhingiv hingiv çê dikin.
Brush your hair.	Porê xwe bişo.
Close your eyes.	Çavên xwe bigire.
Her hair is dry.	Porê wê hişk e.
I had no doubts.	Gumana min tunebû.
I have dry skin.	Çermê min hişk e.
I want a doctor.	Ez toxtirek dixwezim.
It tasted sweet.	Çêja wî şîrîn e.
That is a heart.	Ew dilek e.
That is a heart.	Ew dil e.
Tom cut my hair.	Tom porê min kur kir.
We're relatives.	Em xizm in.
Did you help Tom?	Te hare Tomî kir?
He had long hair.	Porê wî dirij bû.
He has long hair.	Porê wî dirêj e.
Her hair is long.	Porê wê dirêj e.
How are the kids?	Qiçik çawa ne?
How was your day?	Řoja te çawa bû?
I closed my eyes.	Min çavên xwe girt.
I feel so lonely.	Ez piř bi tenêtîyê dihesêm.
I like your hair.	Ez ji porê te hez dikim.
I opened my eyes.	Min çavên xwe vekir.
My eyes are blue.	Çavên min şîn e.
My eyes are sore.	Çavên min diêşê
My heart is weak.	Dilê min sisit e.
My heart is weak.	Dilê min lawaz e.
My heart stopped.	Dilê min sekinî.
My stomach hurts.	Gedeya min diêşe.
She has dry hair.	Porê wê hişk e.
She has wet hair.	Porê wê şil e.
This tastes good.	Tahma viya xweş e.
This tooth hurts.	Ev diran diêşe
Tom has red hair.	Tom bi porê sor e.
Tom isn't stupid.	Tom ne ehmeq e.
Tom wanted money.	Tom pera xwest.
Are your eyes bad?	Çavên te baş nin in?
Christmas is soon.	Serê salê nêzîk e.
Do it by yourself.	Bi xwe bike.
He broke my heart.	Wî dilê min şikand.
He has brown eyes.	Ew bi çavên qehweyî ye.
He keeps his word.	Ew li ser peyvêd xwe dimîne
He killed himself.	Ew xwe kuşt.
He speaks English.	Ew bi Înglîzî dipeyive.
He stole my heart.	Wî dilê min dîzî.
Her eyes are blue.	Çavên wê şîn e.
Her skin was warm.	Çermê wê hênik bû.
His skin was warm.	Çermê wî hênik bû.
I agreed with her.	Ez vê řa me.
I broke his heart.	Min dilê wî şikand.
I brushed my hair.	Min porê xwe firçe kir.
I burnt the toast.	Min tostê şewitand.
I like short hair.	Ez ji porê kin hez dikim
I want some water.	Ez hinek av dixazim.
It broke my heart.	Ew dilê min şikand.
It's an emergency!	Ev rewşeke acîl e!
Look into my eyes.	Li çavên min binêre.
