Hi.	Maalɛ.
Run!	ŋɔcɛ!
Run.	Ŋɔacɛ jɛ.
Who?	Ŋa?
Wow!	Ayiëëc!
Fire!	Yɔ̱tɛ!
Help!	Luäkni̱!
Hide.	Tɔ̱w rɔ.
Hide.	Tɔ̱a̱wɛ rɔ̱.
Jump!	Yor rɔ!
Stay.	Teyni̱.
Stop!	Cuŋni̱!
Wait!	Li̱pni̱.
Begin.	Tokɛ.
Hello!	Maalɛ!
I try.	Ɣɔ̱a̱nä jɛ.
I won!	Cä naath leny!
Relax.	Päli̱ rɔ piny.
Shoot!	Bärɛ!
Smile.	Doth duɔɔth.
Freeze!	Cuŋni̱ cik!
Get up.	Jiɛc rɔ.
Got it?	Ciɛ liŋi̱?
He ran.	Cɛ ŋɔc.
Hop in.	Bër rɛc.
Hug me.	Kuak ɣä.
I know.	Ŋa̱cä jɛ.
I lost.	Cä bath.
I quit.	Cä thuɔ̱k.
I work.	La la̱tdä.
Really?	Ɛ thuɔ̱k?
We try.	Ci̱ nɛy ɛ ɣɔ̱n.
We won.	Ci̱ nɛy naath leny.
Ask Tom.	Thiec Töm.
Be calm.	Teni̱ kɛ päl piny.
Be cool.	Kɔ̱cni̱.
Be fair.	Pääri̱ naath.
Be kind.	Jakni̱ rɔ kä rami̱ gɔaa lɔc.
Be nice.	Teyni̱ ɛ gɔaa.
Call me.	Cɔl ɣä.
Call us.	Cɔl nɛy.
Come in.	Bër rɛc.
Drop it!	Päliɛ pɛ̈ɛ̈n.
Get out!	Wër raar!
Get out.	Bër raar.
Get out.	Wër raar.
Goodbye!	Wër kɛ mal!
Goodbye!	Wiaa kɛ mal.
Hang on!	Ka̱pɛ rɔ̱.
He came.	Cɛ ben.
He runs.	La ŋɔcɛ jɛ.
Help me!	Luäk ɣä!
Help me.	Luäk ɣä.
Hold on.	Cuŋni̱.
I agree.	Can mat.
I'm hit!	Ca ɣä pi̱m.
Join us.	Mätni̱ rɔ nɛy.
Keep it.	A tekɛ ji̱.
Kiss me.	Cim ɣä.
Me, too.	Mäni̱ ɣän.
Open up.	Lɛpɛ.
Perfect!	Cɛ gɔaa ɛlɔ̱ŋ!
Show me.	Nyuthni̱ jɛ ɣä.
Shut up!	Bitni̱!
Skip it.	Bälɛ.
Stop it.	Pälɛ.
Take it.	Naŋɛ.
Tell me.	Lärɛ jɛ ɣä.
Tom won.	Töm cɛ naath leny.
Wake up.	Keri̱.
We know.	Ŋäc nɛyɛ.
We lost.	Ci̱ nɛy bath.
Welcome.	Bër kɛ mal.
Welcome.	Biaa kɛ mal.
Who won?	Ɛŋa ci̱ naath lenyɔ?
You run.	Ŋɔcɛ.
You run.	JI̱n riŋi̱.
Back off.	Ti̱cni̱ rɔ jɔk.
Be quiet.	Bitni̱.
Be still.	/Cu rɔ wany.
Cuff him.	Yiɛini̱ tetkɛ.
Get away!	Woc rɔɔdu!
Get down!	Wër piny!
Get down!	Bër piny.
Get lost.	Bathni̱.
Get real!	Lar thuɔ̱k!
Go ahead.	Wër kɛ wä nhiam.
Good job!	Ci̱ lät ɛ gɔaa!
Grab him.	Käpɛ.
He spoke.	Cɛ ruac.
He tries.	La ɣɔ̱nɛ jɛ.
Help Tom.	Luäk Töm.
How deep?	Pek luëŋdɛ di̱?
How nice!	Ɛŋu gɔaa ɛ nɛ!
Hurry up.	Pɛ̈thni̱.
Hurry up.	Pɛ̈thɛ.
I forgot.	Cä pa̱l ruëëc.
I resign.	Cä rɔ ka̱p cuɔ̱ŋ.
It works.	La lätdɛ.
Leave it.	Bäny ni̱ jɛ piny.
Leave me.	Bäny ni̱ ɣä piny.
Leave us.	Bäny ni̱ nɛy piny.
Look out!	Nɛn nɔmɔ!
Look out!	Liecni̱!
Marry me.	Kuɛn ɣä.
She came.	Cɛ ben.
She died.	Cɛ li̱w.
She runs.	La ŋɔcɛ jɛ.
Sit down!	Nyuuri̱!
Sit here.	Nyuri̱ ɛn gua̱a̱th ɛmɛ.
Speak up!	Ruacni̱!
Stand by.	Cuŋni̱ thiäkä.
Stand up!	Jiɛc rɔ!
Take Tom.	Naŋ Töm.
Tell Tom.	Läriɛ Töm.
They won.	Cikɛ naath leny.
Tom died.	Töm cɛ li̱w.
Tom left.	Töm cɛ jiɛn.
Tom lied.	Töm cɛ kac kac.
Tom lost.	Töm cɛ bath.
Tom paid.	Töm cɛ yio̱o̱kɛ yuɔr piny.
Tom wept.	Töm ci̱ lɔcdɛ jiath.
Trust me!	Ŋäth ɣä!
